location_key,date,cumulative_confirmed,cumulative_deceased,population_male,population_female
US_NM_35001,2020-01-01,,,332576,345627
US_NM_35001,2020-01-02,,,332576,345627
US_NM_35001,2020-01-03,,,332576,345627
US_NM_35001,2020-01-04,,,332576,345627
US_NM_35001,2020-01-05,,,332576,345627
US_NM_35001,2020-01-06,,,332576,345627
US_NM_35001,2020-01-07,,,332576,345627
US_NM_35001,2020-01-08,,,332576,345627
US_NM_35001,2020-01-09,,,332576,345627
US_NM_35001,2020-01-10,,,332576,345627
US_NM_35001,2020-01-11,,,332576,345627
US_NM_35001,2020-01-12,,,332576,345627
US_NM_35001,2020-01-13,,,332576,345627
US_NM_35001,2020-01-14,,,332576,345627
US_NM_35001,2020-01-15,,,332576,345627
US_NM_35001,2020-01-16,,,332576,345627
US_NM_35001,2020-01-17,,,332576,345627
US_NM_35001,2020-01-18,,,332576,345627
US_NM_35001,2020-01-19,,,332576,345627
US_NM_35001,2020-01-20,,,332576,345627
US_NM_35001,2020-01-21,,,332576,345627
US_NM_35001,2020-01-22,,,332576,345627
US_NM_35001,2020-01-23,,,332576,345627
US_NM_35001,2020-01-24,,,332576,345627
US_NM_35001,2020-01-25,,,332576,345627
US_NM_35001,2020-01-26,,,332576,345627
US_NM_35001,2020-01-27,,,332576,345627
US_NM_35001,2020-01-28,,,332576,345627
US_NM_35001,2020-01-29,,,332576,345627
US_NM_35001,2020-01-30,,,332576,345627
US_NM_35001,2020-01-31,,,332576,345627
US_NM_35001,2020-02-01,,,332576,345627
US_NM_35001,2020-02-02,,,332576,345627
US_NM_35001,2020-02-03,,,332576,345627
US_NM_35001,2020-02-04,,,332576,345627
US_NM_35001,2020-02-05,,,332576,345627
US_NM_35001,2020-02-06,,,332576,345627
US_NM_35001,2020-02-07,,,332576,345627
US_NM_35001,2020-02-08,,,332576,345627
US_NM_35001,2020-02-09,,,332576,345627
US_NM_35001,2020-02-10,,,332576,345627
US_NM_35001,2020-02-11,,,332576,345627
US_NM_35001,2020-02-12,,,332576,345627
US_NM_35001,2020-02-13,,,332576,345627
US_NM_35001,2020-02-14,,,332576,345627
US_NM_35001,2020-02-15,,,332576,345627
US_NM_35001,2020-02-16,,,332576,345627
US_NM_35001,2020-02-17,,,332576,345627
US_NM_35001,2020-02-18,,,332576,345627
US_NM_35001,2020-02-19,,,332576,345627
US_NM_35001,2020-02-20,,,332576,345627
US_NM_35001,2020-02-21,,,332576,345627
US_NM_35001,2020-02-22,,,332576,345627
US_NM_35001,2020-02-23,,,332576,345627
US_NM_35001,2020-02-24,,,332576,345627
US_NM_35001,2020-02-25,,,332576,345627
US_NM_35001,2020-02-26,,,332576,345627
US_NM_35001,2020-02-27,,,332576,345627
US_NM_35001,2020-02-28,,,332576,345627
US_NM_35001,2020-02-29,,,332576,345627
US_NM_35001,2020-03-01,,,332576,345627
US_NM_35001,2020-03-02,,,332576,345627
US_NM_35001,2020-03-03,,,332576,345627
US_NM_35001,2020-03-04,,,332576,345627
US_NM_35001,2020-03-05,,,332576,345627
US_NM_35001,2020-03-06,,,332576,345627
US_NM_35001,2020-03-07,,,332576,345627
US_NM_35001,2020-03-08,,,332576,345627
US_NM_35001,2020-03-09,,,332576,345627
US_NM_35001,2020-03-10,,,332576,345627
US_NM_35001,2020-03-11,1.0,0.0,332576,345627
US_NM_35001,2020-03-12,2.0,0.0,332576,345627
US_NM_35001,2020-03-13,5.0,0.0,332576,345627
US_NM_35001,2020-03-14,6.0,0.0,332576,345627
US_NM_35001,2020-03-15,10.0,0.0,332576,345627
US_NM_35001,2020-03-16,14.0,0.0,332576,345627
US_NM_35001,2020-03-17,14.0,0.0,332576,345627
US_NM_35001,2020-03-18,17.0,0.0,332576,345627
US_NM_35001,2020-03-19,20.0,0.0,332576,345627
US_NM_35001,2020-03-20,23.0,0.0,332576,345627
