date,cumulative_confirmed,cumulative_deceased,cumulative_persons_vaccinated,cumulative_persons_fully_vaccinated,cumulative_hospitalized_patients,population,population_male,population_female,rainfall_mm,snowfall_mm,dew_point,relative_humidity
01/01/2020,,,,,,2117522,1159699,1195606,0,,-9.388889,48.062617
01/02/2020,,,,,,2117522,1159699,1195606,0.181429,,-4.771605,60.902545
01/03/2020,,,,,,2117522,1159699,1195606,0.6858,,-6.62963,63.339341
01/04/2020,,,,,,2117522,1159699,1195606,0,,-7.691358,48.235715
01/05/2020,,,,,,2117522,1159699,1195606,0,,-6.790123,45.928002
01/06/2020,,,,,,2117522,1159699,1195606,0,,-9.969136,35.131557
01/07/2020,,,,,,2117522,1159699,1195606,0,,-13.197531,32.783873
01/08/2020,,,,,,2117522,1159699,1195606,0,,-12.141975,36.038393
01/09/2020,,,,,,2117522,1159699,1195606,0,,-10.376543,31.156988
01/10/2020,,,,,,2117522,1159699,1195606,0.254,,-5.45679,50.640578
01/11/2020,,,,,,2117522,1159699,1195606,0.5334,,-11.030864,45.583929
01/12/2020,,,,,,2117522,1159699,1195606,0,,-10.975309,34.417822
01/13/2020,,,,,,2117522,1159699,1195606,0,,-11.302469,30.947449
01/14/2020,,,,,,2117522,1159699,1195606,0,,-11.691358,27.201607
01/15/2020,,,,,,2117522,1159699,1195606,0,,-11.481481,24.726391
01/16/2020,,,,,,2117522,1159699,1195606,0.0635,,-7.117284,41.080221
01/17/2020,,,,,,2117522,1159699,1195606,0.959556,,1.290123,73.887986
01/18/2020,,,,,,2117522,1159699,1195606,0.0254,,-7.395062,43.051001
01/19/2020,,,,,,2117522,1159699,1195606,0,,-8.240741,44.148165
01/20/2020,,,,,,2117522,1159699,1195606,0,,-5.888889,52.361331
01/21/2020,,,,,,2117522,1159699,1195606,0.790222,,-1.734568,65.907457
01/22/2020,0,0,,,,2117522,1159699,1195606,2.003778,,1.518519,77.830113
01/23/2020,0,0,,,,2117522,1159699,1195606,0,,-2.95679,57.95371
01/24/2020,0,0,,,,2117522,1159699,1195606,0,,-3.185185,58.360629
01/25/2020,0,0,,,,2117522,1159699,1195606,0,,-3.407407,52.005196
01/26/2020,0,0,,,,2117522,1159699,1195606,0,,-4.549383,47.030113
01/27/2020,0,0,,,,2117522,1159699,1195606,0.028222,,-3.685185,52.572144
01/28/2020,0,0,,,,2117522,1159699,1195606,0.0762,,-6.783951,45.295288
01/29/2020,0,0,,,,2117522,1159699,1195606,0,,-10.271605,41.11118
01/30/2020,0,0,,,,2117522,1159699,1195606,0,,-7.117284,45.564936
01/31/2020,0,0,,,,2117522,1159699,1195606,0.0508,,-8.382716,41.695605
02/01/2020,0,0,,,,2117522,1159699,1195606,0,,-10.734568,32.874793
02/02/2020,0,0,,,,2117522,1159699,1195606,0,,-7.430556,39.31056
02/03/2020,0,0,,,,2117522,1159699,1195606,0,,-7.450617,31.249652
02/04/2020,0,0,,,,2117522,1159699,1195606,1.058333,30.48,-3.37037,57.774966
02/05/2020,0,0,,,,2117522,1159699,1195606,1.524,30.48,-10.209877,69.560482
02/06/2020,0,0,,,,2117522,1159699,1195606,0.2286,,-12.32716,46.659108
02/07/2020,0,0,,,,2117522,1159699,1195606,0,,-4.845679,43.776498
02/08/2020,0,0,,,,2117522,1159699,1195606,0,,-5.333333,37.877078
02/09/2020,0,0,,,,2117522,1159699,1195606,0,,-7.845679,27.705519
02/10/2020,0,0,,,,2117522,1159699,1195606,0.22225,,-0.265432,57.980434
02/11/2020,0,0,,,,2117522,1159699,1195606,8.551333,,-0.438272,84.343774
02/12/2020,0,0,,,,2117522,1159699,1195606,3.443111,,-3.777778,82.620846
02/13/2020,0,0,,,,2117522,1159699,1195606,0.1778,,-4.851852,65.787955
02/14/2020,0,0,,,,2117522,1159699,1195606,0.0254,,-3.561728,61.458192
02/15/2020,0,0,,,,2117522,1159699,1195606,0,,-2.944444,48.771239
02/16/2020,0,0,,,,2117522,1159699,1195606,0,,-5.814815,36.657779
02/17/2020,0,0,,,,2117522,1159699,1195606,0,,-3.222222,36.703228
02/18/2020,0,0,,,,2117522,1159699,1195606,0,,-1.938272,48.791985
02/19/2020,0,0,,,,2117522,1159699,1195606,0,,-0.808642,62.404319
02/20/2020,0,0,,,,2117522,1159699,1195606,0,,-1.246914,66.922788
02/21/2020,0,0,,,,2117522,1159699,1195606,0,,-3.024691,70.219828
02/22/2020,0,0,,,,2117522,1159699,1195606,0.112889,,0.82716,69.953102
02/23/2020,0,0,,,,2117522,1159699,1195606,1.2065,,2.259259,66.042469
02/24/2020,0,0,,,,2117522,1159699,1195606,0.254,,-3.839506,46.691952
02/25/2020,0,0,,,,2117522,1159699,1195606,0,,-13.530864,27.784986
02/26/2020,0,0,,,,2117522,1159699,1195606,0,,-14.092593,38.264701
02/27/2020,0,0,,,,2117522,1159699,1195606,0,,-13.580247,29.037968
02/28/2020,0,0,,,,2117522,1159699,1195606,0,,-12.333333,24.703509
02/29/2020,0,0,,,,2117522,1159699,1195606,0,,-10.901235,24.811474
03/01/2020,0,0,,,,2117522,1159699,1195606,0,,-7.117284,28.793312
03/02/2020,0,0,,,,2117522,1159699,1195606,0,,-5.049383,36.671093
03/03/2020,0,0,,,,2117522,1159699,1195606,0.4318,,-6.537037,37.901699
03/04/2020,0,0,,,,2117522,1159699,1195606,0.5842,,-3.771605,50.14627
03/05/2020,0,0,,,,2117522,1159699,1195606,0.0508,,-5.080247,41.835945
03/06/2020,0,0,,,,2117522,1159699,1195606,0,,-4.111111,41.049168
03/07/2020,0,0,,,,2117522,1159699,1195606,0,,-1.814815,45.420321
03/08/2020,0,0,,,,2117522,1159699,1195606,0.28575,,3.388889,56.858083
03/09/2020,0,0,,,,2117522,1159699,1195606,3.471333,,2.611111,67.182189
03/10/2020,0,0,,,,2117522,1159699,1195606,0,,0.839506,48.591244
03/11/2020,0,0,,,,2117522,1159699,1195606,0.338667,,5.030864,57.159576
03/12/2020,4,0,,,,2117522,1159699,1195606,0.635,,6.734568,62.233852
03/13/2020,6,0,,,,2117522,1159699,1195606,3.048,,7.740741,76.891829
03/14/2020,10,0,,,,2117522,1159699,1195606,2.032,,-0.08642,51.3932
03/15/2020,13,0,,,,2117522,1159699,1195606,0,,1.277778,55.678742
03/16/2020,17,0,,,,2117522,1159699,1195606,0,,-0.617284,44.876718
03/17/2020,21,0,,,,2117522,1159699,1195606,0,,-2.697531,35.534815
03/18/2020,23,0,,,,2117522,1159699,1195606,1.197429,,2.641975,57.920066
03/19/2020,28,0,,,,2117522,1159699,1195606,4.572,,0.271605,60.100396
03/20/2020,35,0,,,,2117522,1159699,1195606,0,,-2.851852,52.042136
