date,cumulative_confirmed,cumulative_deceased,population_male,population_female,rainfall_mm,snowfall_mm,dew_point,relative_humidity
2020-01-01,,,332576,345627,0.0,,-10.298611,52.912648
2020-01-02,,,332576,345627,0.042333,,-6.131944,68.129256
2020-01-03,,,332576,345627,0.4826,,-8.201389,65.251181
2020-01-04,,,332576,345627,0.0,,-7.909722,53.569701
2020-01-05,,,332576,345627,0.0,,-7.159722,48.685908
2020-01-06,,,332576,345627,0.0,,-9.409722,40.962254
2020-01-07,,,332576,345627,0.0,,-12.430556,38.885784
2020-01-08,,,332576,345627,0.0,,-11.479167,42.355286
2020-01-09,,,332576,345627,0.0,,-11.201389,36.759572
2020-01-10,,,332576,345627,0.4064,,-5.479167,60.794419
2020-01-11,,,332576,345627,0.3302,,-12.451389,46.836545
2020-01-12,,,332576,345627,0.0,,-11.138889,40.733147
2020-01-13,,,332576,345627,0.0508,,-11.458333,38.688958
2020-01-14,,,332576,345627,0.0,,-11.909722,32.921291
2020-01-15,,,332576,345627,0.0,,-12.006944,28.434598
2020-01-16,,,332576,345627,0.689429,,-9.305556,41.045751
2020-01-17,,,332576,345627,5.30225,,-0.305556,81.163455
2020-01-18,,,332576,345627,0.6096,,-9.451389,47.198885
2020-01-19,,,332576,345627,0.0,,-9.506944,47.693212
2020-01-20,,,332576,345627,0.0,,-6.75,56.298643
2020-01-21,,,332576,345627,0.435429,,-2.208333,71.176628
2020-01-22,,,332576,345627,2.794,,0.631944,79.789066
2020-01-23,,,332576,345627,0.0,,-3.055556,67.221377
2020-01-24,,,332576,345627,0.0,,-3.75,63.952553
2020-01-25,,,332576,345627,0.0,,-3.631944,58.626846
2020-01-26,,,332576,345627,0.0,,-4.729167,53.811228
2020-01-27,,,332576,345627,0.0,,-3.652778,62.831884
2020-01-28,,,332576,345627,0.0,,-7.006944,50.576665
2020-01-29,,,332576,345627,0.0,,-9.138889,50.028803
2020-01-30,,,332576,345627,0.0,,-7.381944,51.297906
2020-01-31,,,332576,345627,0.0508,,-9.215278,44.180974
2020-02-01,,,332576,345627,0.0,,-10.159722,37.322163
2020-02-02,,,332576,345627,0.0,,-6.784722,44.211358
2020-02-03,,,332576,345627,0.0,,-8.194444,36.623451
2020-02-04,,,332576,345627,0.5588,30.48,-5.625,61.253409
2020-02-05,,,332576,345627,1.749778,,-13.090278,67.032752
2020-02-06,,,332576,345627,0.0,,-13.909722,47.919996
2020-02-07,,,332576,345627,0.0,,-5.416667,45.431292
2020-02-08,,,332576,345627,0.0,,-6.1875,38.563709
2020-02-09,,,332576,345627,0.0,,-9.381944,28.865827
2020-02-10,,,332576,345627,0.181429,,-2.090278,60.691485
2020-02-11,,,332576,345627,6.9215,,-2.520833,85.505445
2020-02-12,,,332576,345627,2.54,,-5.25,81.210548
2020-02-13,,,332576,345627,0.0762,,-6.576389,65.31357
2020-02-14,,,332576,345627,0.0,,-4.986111,61.945615
2020-02-15,,,332576,345627,0.0,,-3.888889,52.933987
2020-02-16,,,332576,345627,0.0,,-6.451389,39.179264
2020-02-17,,,332576,345627,0.0,,-3.166667,41.759447
2020-02-18,,,332576,345627,0.0,,-2.472222,53.464159
2020-02-19,,,332576,345627,0.0,,-1.5625,65.253992
2020-02-20,,,332576,345627,0.0,,-2.548611,68.10128
2020-02-21,,,332576,345627,0.0,,-4.083333,72.090378
2020-02-22,,,332576,345627,0.145143,,0.173611,74.087199
2020-02-23,,,332576,345627,2.57175,,2.541667,81.075368
2020-02-24,,,332576,345627,1.3462,,-3.631944,55.698022
2020-02-25,,,332576,345627,0.0,,-15.131944,29.134613
2020-02-26,,,332576,345627,0.0,,-14.520833,41.234673
2020-02-27,,,332576,345627,0.0,,-13.5625,30.648732
2020-02-28,,,332576,345627,0.0,,-12.298611,27.426766
2020-02-29,,,332576,345627,0.0,,-11.034722,27.738447
2020-03-01,,,332576,345627,0.0,,-8.444444,30.514786
2020-03-02,,,332576,345627,0.0,,-6.263889,39.569688
2020-03-03,,,332576,345627,0.0,,-9.708333,33.665415
2020-03-04,,,332576,345627,0.0,,-8.444444,34.393253
2020-03-05,,,332576,345627,0.0,,-9.034722,31.498471
2020-03-06,,,332576,345627,0.0,,-6.381944,36.403664
2020-03-07,,,332576,345627,0.0,,-3.479167,43.579764
2020-03-08,,,332576,345627,0.290286,,0.8125,51.790765
2020-03-09,,,332576,345627,1.11125,,0.548611,63.514056
2020-03-10,,,332576,345627,0.0,,-1.458333,46.088927
2020-03-11,1.0,0.0,332576,345627,0.435429,,3.243056,58.546248
2020-03-12,2.0,0.0,332576,345627,1.693333,,5.180556,65.127082
2020-03-13,5.0,0.0,332576,345627,2.667,,5.777778,75.386408
2020-03-14,6.0,0.0,332576,345627,6.462889,,-1.076389,55.551202
2020-03-15,10.0,0.0,332576,345627,0.0,,-0.208333,54.529883
2020-03-16,14.0,0.0,332576,345627,0.0,,-1.979167,45.269499
2020-03-17,14.0,0.0,332576,345627,0.0,,-4.986111,33.184863
2020-03-18,17.0,0.0,332576,345627,0.127,,0.451389,54.644506
2020-03-19,20.0,0.0,332576,345627,4.136571,,-0.5,64.34297
2020-03-20,23.0,0.0,332576,345627,0.903111,,-3.416667,58.007015
2020-03-21,32.0,0.0,332576,345627,0.5715,,-0.229167,64.163447
2020-03-22,34.0,0.0,332576,345627,0.649111,,-3.180556,47.626557
2020-03-23,38.0,0.0,332576,345627,0.0,,-4.826389,34.318688
2020-03-24,43.0,0.0,332576,345627,0.0,,-5.131944,35.163649
2020-03-25,48.0,0.0,332576,345627,0.0,,-7.861111,25.214517
2020-03-26,55.0,0.0,332576,345627,0.0,,-1.888889,32.156135
2020-03-27,82.0,0.0,332576,345627,0.60325,,-0.993056,43.72757
2020-03-28,93.0,1.0,332576,345627,0.282222,,-9.708333,37.057899
2020-03-29,101.0,1.0,332576,345627,0.2032,,-10.986111,28.60357
2020-03-30,117.0,3.0,332576,345627,0.0,,-9.368056,26.566823
2020-03-31,129.0,4.0,332576,345627,0.0508,,-8.375,28.699055
2020-04-01,148.0,4.0,332576,345627,0.0,,-7.631944,21.519898
2020-04-02,163.0,5.0,332576,345627,0.0,,-7.756944,20.986338
2020-04-03,202.0,7.0,332576,345627,0.0,,-7.347222,26.70124
2020-04-04,225.0,7.0,332576,345627,0.254,,-3.951389,38.668486
2020-04-05,246.0,7.0,332576,345627,0.0,,-7.875,23.505973
2020-04-06,262.0,7.0,332576,345627,0.0,,-9.222222,19.859151
2020-04-07,307.0,8.0,332576,345627,0.0,,-9.854167,19.040123
2020-04-08,325.0,11.0,332576,345627,0.0,,-7.791667,22.180096
2020-04-09,369.0,12.0,332576,345627,0.0,,-4.625,25.641121
2020-04-10,407.0,13.0,332576,345627,0.0,,-6.895833,26.305641
2020-04-11,422.0,13.0,332576,345627,0.0,,-13.340278,16.254069
2020-04-12,440.0,16.0,332576,345627,0.0,,-5.201389,33.083694
2020-04-13,455.0,16.0,332576,345627,3.519714,,-1.368056,71.259004
2020-04-14,464.0,17.0,332576,345627,6.168571,,-5.548611,57.545588
2020-04-15,477.0,17.0,332576,345627,0.0,,-12.694444,26.407753
2020-04-16,491.0,18.0,332576,345627,0.0,,-8.097222,25.912991
2020-04-17,514.0,22.0,332576,345627,0.0,,-7.0625,26.70263
2020-04-18,527.0,23.0,332576,345627,0.0,,-6.756944,26.114862
2020-04-19,542.0,24.0,332576,345627,0.0,,-5.097222,30.236106
2020-04-20,566.0,24.0,332576,345627,0.0,,-4.583333,28.876654
2020-04-21,585.0,29.0,332576,345627,0.0,,-5.069444,26.31683
2020-04-22,600.0,29.0,332576,345627,0.028222,,-2.25,35.291453
2020-04-23,631.0,31.0,332576,345627,0.0,,-5.666667,26.289385
2020-04-24,651.0,33.0,332576,345627,0.0,,-6.083333,20.995597
2020-04-25,670.0,33.0,332576,345627,0.0,,-7.631944,21.860229
2020-04-26,688.0,33.0,332576,345627,0.0,,-8.881944,17.61837
2020-04-27,694.0,33.0,332576,345627,0.0,,-4.958333,19.7869
2020-04-28,738.0,35.0,332576,345627,0.0,,-5.833333,16.887083
2020-04-29,765.0,35.0,332576,345627,0.0,,-2.638889,25.01606
2020-04-30,811.0,35.0,332576,345627,0.084667,,-0.875,27.38988
2020-05-01,830.0,36.0,332576,345627,0.0,,-2.409722,19.860967
2020-05-02,883.0,38.0,332576,345627,0.0,,-8.118056,13.689263
2020-05-03,920.0,40.0,332576,345627,0.0,,-6.291667,16.089478
2020-05-04,944.0,40.0,332576,345627,0.0,,-6.298611,15.52872
2020-05-05,963.0,42.0,332576,345627,0.0,,-2.493056,26.098768
2020-05-06,981.0,44.0,332576,345627,0.0,,-3.180556,23.980796
2020-05-07,1012.0,44.0,332576,345627,0.0,,-6.555556,14.433754
2020-05-08,1030.0,45.0,332576,345627,0.0,,-9.888889,16.207459
2020-05-09,1050.0,46.0,332576,345627,0.0,,-5.736111,24.036598
2020-05-10,1073.0,46.0,332576,345627,0.0,,-3.173611,24.966638
2020-05-11,1086.0,48.0,332576,345627,0.169333,,3.743056,44.952992
2020-05-12,1111.0,50.0,332576,345627,1.197429,,2.305556,39.721167
2020-05-13,1124.0,53.0,332576,345627,0.0,,-5.055556,20.365478
2020-05-14,1149.0,54.0,332576,345627,0.0,,-5.958333,18.939194
2020-05-15,1180.0,56.0,332576,345627,0.0,,-5.798611,18.909808
2020-05-16,1194.0,56.0,332576,345627,0.0,,-4.381944,20.429327
2020-05-17,1210.0,57.0,332576,345627,0.0,,1.826389,29.976024
2020-05-18,1218.0,59.0,332576,345627,0.0,,-3.131944,17.773068
2020-05-19,1225.0,59.0,332576,345627,0.0,,-4.430556,16.252514
2020-05-20,1254.0,59.0,332576,345627,0.0,,-6.465278,16.45493
2020-05-21,1273.0,63.0,332576,345627,0.0,,-15.472222,9.544094
2020-05-22,1313.0,66.0,332576,345627,0.0,,-14.638889,10.401474
2020-05-23,1326.0,68.0,332576,345627,0.0,,-10.513889,12.668179
2020-05-24,1337.0,68.0,332576,345627,0.0,,-7.972222,15.38408
2020-05-25,1347.0,68.0,332576,345627,0.0,,-4.75,24.931835
2020-05-26,1362.0,68.0,332576,345627,0.7112,,0.569444,37.434196
2020-05-27,1383.0,69.0,332576,345627,0.0,,-4.222222,18.310915
2020-05-28,1434.0,70.0,332576,345627,0.1905,,1.423611,25.7205
2020-05-29,1445.0,71.0,332576,345627,0.09525,,3.409722,28.874696
2020-05-30,1464.0,71.0,332576,345627,0.818444,,4.618056,30.430049
2020-05-31,1476.0,71.0,332576,345627,1.306286,,7.763889,43.046797
2020-06-01,1486.0,71.0,332576,345627,0.254,,5.534722,35.216092
2020-06-02,1499.0,72.0,332576,345627,4.66725,,8.673611,48.524143
2020-06-03,1524.0,72.0,332576,345627,0.550333,,6.875,37.667599
2020-06-04,1543.0,73.0,332576,345627,0.112889,,3.263889,25.143034
2020-06-05,1559.0,74.0,332576,345627,0.0,,-0.673611,17.647995
2020-06-06,1575.0,74.0,332576,345627,0.60325,,6.729167,31.038218
2020-06-07,1592.0,75.0,332576,345627,2.4638,,-5.291667,15.50741
2020-06-08,1600.0,75.0,332576,345627,0.0,,-2.631944,18.435871
2020-06-09,1612.0,76.0,332576,345627,0.0,,-9.736111,17.292643
2020-06-10,1623.0,77.0,332576,345627,0.0,,-8.861111,15.525411
2020-06-11,1652.0,77.0,332576,345627,0.0,,-8.194444,13.121108
2020-06-12,1669.0,77.0,332576,345627,0.0,,3.402778,29.184297
2020-06-13,1682.0,78.0,332576,345627,0.34925,,5.9375,37.66222
2020-06-14,1693.0,80.0,332576,345627,1.27,,6.222222,38.067958
2020-06-15,1705.0,80.0,332576,345627,1.326444,,3.270833,27.561035
2020-06-16,1733.0,80.0,332576,345627,0.254,,5.333333,34.94256
2020-06-17,1752.0,81.0,332576,345627,0.5715,,0.902778,23.02793
2020-06-18,1763.0,82.0,332576,345627,0.0,,-8.590278,11.581482
